,"Belfast Centre",,,,,
Date,Ozone,Status,"Nitrogen dioxide",Status,"Sulphur dioxide",Status
08/12/2008,21,"V µg/m³",47,"V µg/m³",6,"V µg/m³"
09/12/2008,35,"V µg/m³",36,"V µg/m³",5,"V µg/m³"
10/12/2008,14,"V µg/m³",57,"V µg/m³",11,"V µg/m³"
11/12/2008,2,"V µg/m³",82,"V µg/m³",20,"V µg/m³"
12/12/2008,18,"V µg/m³",54,"V µg/m³",3,"V µg/m³"
13/12/2008,29,"V µg/m³",34,"V µg/m³",1,"V µg/m³"
14/12/2008,34,"V µg/m³",32,"V µg/m³",2,"V µg/m³"
15/12/2008,7,"V µg/m³",62,"V µg/m³",6,"V µg/m³"
16/12/2008,22,"V µg/m³",48,"V µg/m³",5,"V µg/m³"
17/12/2008,20,"V µg/m³",47,"V µg/m³",4,"V µg/m³"
18/12/2008,42,"V µg/m³",27,"V µg/m³",3,"V µg/m³"
19/12/2008,34,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
20/12/2008,28,"V µg/m³",41,"V µg/m³",1,"V µg/m³"
21/12/2008,56,"V µg/m³",13,"V µg/m³",3,"V µg/m³"
22/12/2008,23,"V µg/m³",44,"V µg/m³",2,"V µg/m³"
