,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
28/01/1995,32,V µg/m³,20,V µg/m³,50,V µg/m³,49,V µg/m³,0.9,V mg/m³
29/01/1995,39,V µg/m³,5,V µg/m³,34,V µg/m³,34,V µg/m³,0.6,V mg/m³
30/01/1995,29,V µg/m³,96,V µg/m³,57,V µg/m³,89,V µg/m³,1.8,V mg/m³
31/01/1995,38,V µg/m³,33,V µg/m³,56,V µg/m³,52,V µg/m³,0.5,V mg/m³
01/02/1995,40,V µg/m³,15,V µg/m³,45,V µg/m³,56,V µg/m³,0.5,V mg/m³
02/02/1995,29,V µg/m³,69,V µg/m³,57,V µg/m³,77,V µg/m³,1.2,V mg/m³
03/02/1995,40,V µg/m³,21,V µg/m³,49,V µg/m³,31,V µg/m³,0.7,V mg/m³
04/02/1995,39,V µg/m³,18,V µg/m³,44,V µg/m³,38,V µg/m³,0.9,V mg/m³
05/02/1995,45,V µg/m³,3,V µg/m³,26,V µg/m³,32,V µg/m³,0.6,V mg/m³
06/02/1995,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V mg/m³
07/02/1995,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V mg/m³
08/02/1995,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V mg/m³
09/02/1995,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V mg/m³
10/02/1995,6,V µg/m³,36,V µg/m³,51,V µg/m³,50,V µg/m³,0.4,V mg/m³
11/02/1995,37,V µg/m³,12,V µg/m³,36,V µg/m³,23,V µg/m³,0.5,V mg/m³
12/02/1995,50,V µg/m³,5,V µg/m³,27,V µg/m³,35,V µg/m³,0.2,V mg/m³
13/02/1995,23,V µg/m³,23,V µg/m³,62,V µg/m³,63,V µg/m³,1.2,V mg/m³
14/02/1995,41,V µg/m³,30,V µg/m³,41,V µg/m³,46,V µg/m³,0.4,V mg/m³
15/02/1995,48,V µg/m³,18,V µg/m³,41,V µg/m³,38,V µg/m³,0.5,V mg/m³
16/02/1995,42,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,44,V µg/m³,nodata,V mg/m³
17/02/1995,34,V µg/m³,26,V µg/m³,50,V µg/m³,48,V µg/m³,0.8,V mg/m³
18/02/1995,44,V µg/m³,15,V µg/m³,36,V µg/m³,35,V µg/m³,0.6,V mg/m³
19/02/1995,57,V µg/m³,4,V µg/m³,19,V µg/m³,22,V µg/m³,0.4,V mg/m³
20/02/1995,23,V µg/m³,46,V µg/m³,65,V µg/m³,83,V µg/m³,0.9,V mg/m³
21/02/1995,45,V µg/m³,16,V µg/m³,33,V µg/m³,37,V µg/m³,0.5,V mg/m³
22/02/1995,48,V µg/m³,16,V µg/m³,37,V µg/m³,38,V µg/m³,0.4,V mg/m³
23/02/1995,35,V µg/m³,29,V µg/m³,43,V µg/m³,54,V µg/m³,0.7,V mg/m³
24/02/1995,12,V µg/m³,60,V µg/m³,60,V µg/m³,93,V µg/m³,1.4,V mg/m³
25/02/1995,37,V µg/m³,10,V µg/m³,36,V µg/m³,35,V µg/m³,0.5,V mg/m³
26/02/1995,53,V µg/m³,4,V µg/m³,21,V µg/m³,31,V µg/m³,0.3,V mg/m³
27/02/1995,42,V µg/m³,12,V µg/m³,29,V µg/m³,40,V µg/m³,0.3,V mg/m³
28/02/1995,49,V µg/m³,18,V µg/m³,35,V µg/m³,28,V µg/m³,0.4,V mg/m³
01/03/1995,42,V µg/m³,22,V µg/m³,42,V µg/m³,45,V µg/m³,0.4,V mg/m³
02/03/1995,39,V µg/m³,20,V µg/m³,47,V µg/m³,49,V µg/m³,0.5,V mg/m³
03/03/1995,30,V µg/m³,28,V µg/m³,58,V µg/m³,49,V µg/m³,1,V mg/m³
04/03/1995,26,V µg/m³,23,V µg/m³,53,V µg/m³,53,V µg/m³,0.9,V mg/m³
05/03/1995,63,V µg/m³,3,V µg/m³,15,V µg/m³,23,V µg/m³,0.6,V mg/m³
06/03/1995,51,V µg/m³,10,V µg/m³,32,V µg/m³,30,V µg/m³,0.8,V mg/m³
07/03/1995,43,V µg/m³,17,V µg/m³,43,V µg/m³,39,V µg/m³,0.7,V mg/m³
08/03/1995,49,V µg/m³,10,V µg/m³,32,V µg/m³,34,V µg/m³,0.5,V mg/m³
09/03/1995,38,V µg/m³,28,V µg/m³,43,V µg/m³,46,V µg/m³,1.1,V mg/m³
10/03/1995,57,V µg/m³,7,V µg/m³,26,V µg/m³,12,V µg/m³,0.5,V mg/m³
11/03/1995,43,V µg/m³,11,V µg/m³,37,V µg/m³,38,V µg/m³,0.7,V mg/m³
12/03/1995,28,V µg/m³,7,V µg/m³,39,V µg/m³,45,V µg/m³,nodata,V mg/m³
13/03/1995,19,V µg/m³,31,V µg/m³,55,V µg/m³,68,V µg/m³,nodata,V mg/m³
14/03/1995,50,V µg/m³,14,V µg/m³,33,V µg/m³,37,V µg/m³,0.3,V mg/m³
15/03/1995,54,V µg/m³,10,V µg/m³,29,V µg/m³,33,V µg/m³,0.3,V mg/m³
16/03/1995,39,V µg/m³,21,V µg/m³,48,V µg/m³,48,V µg/m³,0.4,V mg/m³
17/03/1995,64,V µg/m³,9,V µg/m³,26,V µg/m³,27,V µg/m³,0.2,V mg/m³
18/03/1995,59,V µg/m³,8,V µg/m³,24,V µg/m³,24,V µg/m³,0.7,V mg/m³
19/03/1995,54,V µg/m³,3,V µg/m³,14,V µg/m³,20,V µg/m³,0.6,V mg/m³
20/03/1995,37,V µg/m³,19,V µg/m³,49,V µg/m³,54,V µg/m³,1,V mg/m³
21/03/1995,23,V µg/m³,29,V µg/m³,68,V µg/m³,75,V µg/m³,0.8,V mg/m³
22/03/1995,35,V µg/m³,26,V µg/m³,58,V µg/m³,52,V µg/m³,0.6,V mg/m³
23/03/1995,37,V µg/m³,26,V µg/m³,60,V µg/m³,57,V µg/m³,0.4,V mg/m³
24/03/1995,52,V µg/m³,10,V µg/m³,29,V µg/m³,28,V µg/m³,0.3,V mg/m³
